Kappa3,Cross Section,Uncertainty
3.789,2.6282107311981766E-002,3.2750249262739956E-004
8.0,0.23222596307552082,1.0281985603696839E-003
1.158,2.4193836259494381E-002,2.1251943803025073E-004
-2.0,0.14977613544524504,7.2861163660543698E-004
2.211,1.3410147667487887E-002,1.5961387892748390E-004
5.895,9.8565377304564120E-002,8.4244121734534060E-004
1.0,2.7173851124635044E-002,2.2795776676682664E-004
4.316,3.8602136335424725E-002,4.7758129457364139E-004
5.368,7.4675002104918634E-002,7.6249248622928874E-004
0.632,3.5446776176465383E-002,2.6932070284007052E-004
-0.947,9.2423670188999010E-002,5.6765925892926375E-004
7.474,0.19303956621554144,9.7771471972628310E-004
4.842,5.4699310883743288E-002,6.2983547856084203E-004
6.421,0.12622089880039905,9.0489978850472443E-004
1.684,1.6854763143574820E-002,1.7422853020703717E-004
3.263,1.8164890305270992E-002,2.3398972909887189E-004
-1.474,0.11919944552332368,6.5397508165196037E-004
-0.421,6.9572126151386693E-002,4.7042628445629914E-004
2.737,1.3793416160250148E-002,1.8068776457221968E-004
6.947,0.15766475805917712,9.3694626218910628E-004
0.105,5.0592504962259727E-002,3.6042861302205856E-004
