Kappa3,Cross Section,Uncertainty
3.789,6.1158373054924879E-002,1.4502682371482655E-004
1.158,6.7171027872366215E-002,1.7696659135384225E-004
2.211,3.4035752055953390E-002,9.0027089095768927E-005
5.895,0.24162273366881412,5.6491872673586569E-004
4.316,9.0821455662442763E-002,2.1389955451791862E-004
5.368,0.18096240142951550,4.2364604707383280E-004
0.632,9.9295282291763487E-002,2.4108894621174663E-004
1.0,7.5738220339788470E-002,1.9188092241313983E-004
6.421,0.31249056900995115,7.3656742023476326E-004
4.842,0.13074086897179243,3.0771133684518478E-004
7.474,0.48527339795171637,1.1657160140709851E-003
3.263,4.1822235102969590E-002,1.0112113249478983E-004
1.684,4.5409983587843018E-002,1.1604458387880400E-004
-0.947,0.25739436534607274,6.2949624642106867E-004
8.0,0.58702859036989519,1.4228139972915616E-003
-2.0,0.41431728006594892,1.0282314297717086E-003
2.737,3.2768222901988095E-002,8.3428003074123626E-005
6.947,0.39364757003170714,9.3731574174593451E-004
0.105,0.14176822653868348,3.4107495691266789E-004
-0.421,0.19443660905410468,4.7231591137461234E-004
-1.474,0.33078886871323249,8.1799164273164352E-004
